OWNER;NAME;CONTEXTS
0x9fff00;futurerestore;[["hack", "idevicerestore", "wrapper", "allow", "manually", "specifying", "sep", "baseband", "restore"], ["late", "compile", "version", "find"]]
3mundi;kaminari-mongoid;[["kaminari", "mongoid", "adapter"]]
3scale;3scale;[["3scale", "api", "infrastructure", "service", "handle", "api", "key", "rate", "limiting", "analytics", "bill", "payment", "developer", "management", "include", "configurable", "api", "dashboard", "developer", "portal", "cm", "product", "stuff", "support", "information"]]
a2800276;8583;[["package", "currently", "contain", "code", "cod", "decoding", "iso", "financial", "message"]]
activeadmin;arbre;[["arbre", "make", "easy", "generate", "html", "directly", "ruby", "gem", "extract", "active", "admin"]]
activemerchant;offsite;'[["offsite", "payment", "extraction", "ecommerce", "system", "shopify", "shopify''s", "requirement", "simple", "unified", "api", "handle", "dozen", "different", "offsite", "payment", "page", "often", "call", "host", "payment", "page", "different", "expose", "apis", "chief", "principle", "design", "library"], ["develop", "usage", "ruby", "rail", "web", "application", "integrate", "seamlessly", "rails", "plugin", "also", "work", "stand", "alone", "ruby", "library", "much", "benefit", "actionview", "helper", "rails-specific"], ["offsite", "payment", "production", "use", "originally", "part", "activemerchant", "project", "since", "june", "maintain", "shopify", "team", "much", "help", "ever-growing", "set", "contributor"], ["addition", "gateway", "offsite_payments", "guarantee_NEG", "placement_NEG", "within_NEG", "shopify_NEG", "order", "gateway", "consider", "please", "send", "email", "payment-integrations@shopify.com", "offsite", "payment", "integration", "subject", "sure", "include"], ["universal", "api", "define", "standard", "set", "request", "callback", "use", "integrate", "shopify", "sample", "app", "documentation", "host", "universal", "api", "use", "integration", "placement", "within", "shopify", "desired", "outcome"]]'
Ada-Developers-Academy;ada-build;[["repository", "contain", "material", "build", "program", "part", "ada", "developer", "academy", "curriculum", "design", "introductory", "curriculum", "ada", "applicant", "aspirant"]]
adacosta;mongoid;[["data", "migration", "mongoid"], ["want", "use", "output", "migration", "use", "hook", "after_migrate"], ["override", "default", "migration", "path", "db", "migrate", "add", "following", "line", "application.rb", "file"]]
adamcooke;authie;[["rails", "library", "provide", "application", "database-backed", "user", "session", "ensure", "user", "session", "invalidate", "server", "user", "activity", "easily", "track"], ["traditional", "way", "simply", "set", "user", "id", "session", "insecure", "unwise", "simply", "something", "like", "example", "mean", "anyone", "access", "session", "cookie", "login", "user", "whenever", "wherever", "wish"], ["clarify", "default", "rail", "session", "cooky", "encrypt", "nothing", "allow_NEG", "invalidate_NEG", "someone_NEG", "steal_NEG", "encrypted_NEG", "cookie_NEG", "authenticate_NEG", "user_NEG", "could", "steal", "use", "mitm", "attack", "simply", "steal", "directly", "browser", "get", "coffee"], ["design", "goal", "behind", "authie"]]
adamniedzielski;tiddle;[["tiddle", "provide", "devise", "strategy", "token", "authentication", "api-only", "ruby", "rail", "application", "main", "feature", "support", "multiple", "token", "per", "user"], ["tiddle", "lightweight", "non-configurable", "leave", "manual", "implementation"]]
adelevie;parse;[["unfortunately", "able_NEG", "give_NEG", "library_NEG", "time_NEG", "deserve_NEG", "would", "like", "maintainer", "please", "let", "know"], ["parseresource", "make", "easy", "interact", "parse.com", "rest", "api", "adhere", "activerecord", "pattern", "parseresource", "fully", "activemodel", "compliant", "mean", "use", "validation", "rail", "form"], ["ruby", "rail", "developer", "feel", "right", "home"], ["use", "post.create", "title", "hello", "world", "author", "octocat"]]
adimichele;hubspot-ruby;[["master", "branch", "contains", "unreleased", "potentially", "breaking", "change", "look", "recent", "stable", "release", "want", "v0", "stable", "branch"], ["wrap", "hubspot", "rest", "api", "convenient", "access", "ruby", "application"], ["documentation", "hubspot", "rest", "api", "find"]]
adzerk;adzerk-api;[["ruby", "wrapper", "adzerk", "api"]]
aerospike;aerospike-client-ruby;[["aerospike", "library", "ruby"], ["library", "compatible", "ruby", "2.3+", "support", "linux", "mac", "x", "various", "bsds"]]
aetherknight;recursive-open-struct;[["openstruct", "subclass", "return", "nest", "hash", "attribute", "recursiveopenstructs"]]
afair;email;'[["email_address", "gem", "provide", "ruby", "language", "library", "work", "email", "address"], ["default", "validate", "conventional", "usage", "format", "prefer", "user", "email", "address", "configure", "validate", "rfc", "standard", "format", "common", "email", "service", "provider", "format", "perform", "dns", "validation"], ["use", "email_address", "validate", "user", "email", "address", "result", "false", "positives", "due", "type", "error", "gibberish", "data", "validate", "syntax", "strictly", "popular", "email", "provider", "deal", "gmail''s", "optional", "dot", "address"], ["provide", "active", "record", "rail", "extension", "include", "address", "validator", "attribute", "api", "custom", "datatypes"], ["require", "ruby", "later"], ["look", "javascript", "version", "library", "check", "email_address", "npm", "module"]]'
ahodesuka;ahoviewer;[["gtk", "image", "viewer", "manga", "reader", "booru", "browser"]]
ahoward;map;[["synopsis", "awesome", "ruby", "container", "always", "want", "string", "symbol", "indifferent", "order", "hash", "work", "ruby"], ["map", "bitchin", "ordered", "hash", "ordered", "string", "symbol", "indifferent", "sort", "sweetness", "like", "recursive", "conversion", "robust", "implementation", "hashwithindifferentaccess", "support", "struct", "like", "map.foo", "access", "support", "option", "keyword", "access", "avoid", "several", "nasty", "class", "error", "many", "ruby", "library"], ["install", "gem", "install", "map"], ["map", "k", "v", "key", "val", "map", "k", "v", "key", "val", "map.new", "k", "v", "key", "val"], ["map", "k", "v", "key", "val", "map", "k", "v", "key", "val", "ruh-oh", "input", "hash", "lose", "order", "map.new", "k", "v", "key", "val", "ruh-oh", "input", "hash", "lose", "order"], ["map.new", "b", "c"], ["p", "m.keys", "b", "c", "always", "order", "p", "m.values", "always", "order"], ["p", "foo", "bar", "baz"], ["m.update", "k2", "v2", "m.update", "k2", "v2"], ["key_val_pair", "m.shift", "key_val_pair", "m.pop"], ["m.update", "nested", "hash", "convert"], ["map", "foo", "bar", "m.struct", "p", "s.foo.bar"], ["def", "foo", "args", "block", "opt", "map.options", "args", "opts.getopt", "b", "opts.getopt", "b", ":d", "efault", "false", "end"], ["opts", "map.options", "b", "nil", "c", "false", "opts.getopt", "opts.getopt", "b", "nil", "opts.getopt", "b", ":d", "efault", "opts.getopt", "c", "false", "opts.getopt", ":d", "efault", "false", "false"], ["option", "read_only", "false", "read_only", "option", "read_only", "true", "false", "true"], ["option", "map.options", "read_only", "true", "read_only", "options.getopt", "read_only", ":d", "efault", "false", "true"], ["map.new", "m.set", "h", "m.has", "h", "true", "p", "h", "m.set", "h", "p", "h"], ["m.get", "h", "m.get", "x", "z", "nil", "x", "z", "raise", "exception"], ["map.new", "array", "default", "array", "nil", "nil", "m.apply", "default", "p", "array"], ["m.set", "b", "c", "b", "c", "b", "c", "b", "c"], ["m.set", "x", "m.set", "x", "z"], ["depth_first_each", "key", "val", "p", "key", "val", "end"], ["b", "c", "b", "c", "b", "c", "b", "c", "x", "x", "z"], ["usage", "see", "lib", "map.rb", "test", "map_test", "rb"], ["history", "support", "dot", "key", "map.set", "b", "c", "b", "c"]]
airbnb;ruby;'[["airbnb''s", "ruby", "style", "guide"], ["inspire", "github''s", "guide", "rubocop''s", "guide"], ["airbnb", "also", "maintain", "javascript", "style", "guide"]]'
